Player,npxG/90,npxG_per_shot,Consistency
Callum Wilson,0.9361702127659575,0.25882352941176473,0.24230287859824784
Alexander Isak,0.8363636363636363,0.2875,0.24045454545454542
Erling Haaland,0.7878787878787878,0.23636363636363636,0.1862258953168044
Darwin Núñez,0.8297872340425532,0.16956521739130434,0.14070305272895467
Dominic Calvert-Lewin,0.6086956521739131,0.19999999999999998,0.1217391304347826
Bryan Mbeumo,0.48,0.20869565217391303,0.10017391304347825
Nicolas Jackson,0.5675675675675675,0.17500000000000002,0.09932432432432432
Bobby Reid,0.41935483870967744,0.2,0.08387096774193549
Ollie Watkins,0.5157894736842106,0.15806451612903227,0.08152801358234298
Gabriel Jesus,0.45,0.18,0.081
Cody Gakpo,0.48717948717948717,0.15833333333333333,0.07713675213675213
Diogo Jota,0.5208333333333334,0.14705882352941177,0.07659313725490197
Son Heung-min,0.4886363636363636,0.15357142857142855,0.0750405844155844
Yoane Wissa,0.4731182795698925,0.15714285714285717,0.07434715821812597
Evan Ferguson,0.4736842105263158,0.15000000000000002,0.07105263157894738
Mohamed Salah,0.4270833333333333,0.16399999999999998,0.07004166666666665
Tomáš Souček,0.37142857142857144,0.18571428571428572,0.0689795918367347
Abdoulaye Doucouré,0.34736842105263155,0.18333333333333332,0.06368421052631577
Jarrod Bowen,0.41,0.13666666666666666,0.056033333333333324
João Pedro,0.36363636363636365,0.15384615384615385,0.05594405594405595
Richarlison,0.45,0.12272727272727274,0.055227272727272736
Matty Cash,0.29896907216494845,0.18125,0.0541881443298969
Dominic Solanke,0.37373737373737376,0.1423076923076923,0.05318570318570318
Bukayo Saka,0.29069767441860467,0.17857142857142858,0.051910299003322266
Beto,0.46875,0.10714285714285714,0.05022321428571428
Arnaut Danjuma,0.4390243902439025,0.1125,0.049390243902439034
Luis Díaz,0.37681159420289856,0.13,0.04898550724637681
Eddie Nketiah,0.3815789473684211,0.12083333333333333,0.04610745614035088
Solly March,0.3225806451612903,0.14285714285714285,0.046082949308755755
Matheus Cunha,0.32584269662921345,0.1380952380952381,0.04499732477260567
Anthony Gordon,0.32051282051282054,0.1388888888888889,0.04451566951566952
Hwang Hee-chan,0.31818181818181823,0.13125,0.041761363636363645
Marcus Rashford,0.3870967741935484,0.10588235294117647,0.04098671726755218
Odsonne Édouard,0.3372093023255814,0.11599999999999999,0.03911627906976744
Lyle Foster,0.23880597014925373,0.16,0.0382089552238806
Kaoru Mitoma,0.26595744680851063,0.1388888888888889,0.03693853427895981
Raheem Sterling,0.2777777777777778,0.13157894736842105,0.03654970760233918
Jacob Brown,0.30158730158730157,0.11875,0.03581349206349206
Phil Foden,0.27586206896551724,0.12631578947368421,0.03484573502722323
Julián Álvarez,0.3333333333333333,0.10333333333333333,0.034444444444444444
Rasmus Højlund,0.2545454545454545,0.12727272727272726,0.03239669421487602
Cole Palmer,0.2608695652173913,0.12,0.03130434782608695
James Maddison,0.30107526881720426,0.09999999999999999,0.03010752688172042
Casemiro,0.25,0.12000000000000001,0.030000000000000002
Pedro Neto,0.23469387755102036,0.12777777777777777,0.029988662131519267
James Ward-Prowse,0.18390804597701152,0.16,0.029425287356321845
Eberechi Eze,0.32857142857142857,0.08518518518518518,0.027989417989417988
Zeki Amdouni,0.26153846153846155,0.10625,0.02778846153846154
Nicolò Zaniolo,0.2857142857142857,0.08,0.022857142857142857
Sean Longstaff,0.18571428571428572,0.11818181818181818,0.02194805194805195
Pape Matar Sarr,0.2151898734177215,0.09999999999999999,0.02151898734177215
Moussa Diaby,0.21590909090909088,0.08636363636363636,0.018646694214876032
Luca Koleosho,0.18571428571428572,0.1,0.018571428571428572
Carlton Morris,0.20212765957446807,0.09047619047619047,0.018287740628166158
John McGinn,0.13978494623655913,0.13,0.018172043010752686
Pascal Groß,0.1772151898734177,0.09999999999999999,0.01772151898734177
Christian Nørgaard,0.1702127659574468,0.1,0.01702127659574468
Enzo Fernández,0.1744186046511628,0.09375,0.016351744186046513
Bruno Fernandes,0.21000000000000002,0.07777777777777778,0.016333333333333335
Miguel Almirón,0.17808219178082194,0.08666666666666667,0.015433789954337902
Lewis Dunk,0.13999999999999999,0.10769230769230768,0.015076923076923075
Raúl Jiménez,0.16417910447761194,0.09166666666666667,0.015049751243781096
Willy Boly,0.13095238095238096,0.11000000000000001,0.014404761904761908
Jordan Ayew,0.17204301075268816,0.08,0.013763440860215054
Philip Billing,0.15625,0.08333333333333333,0.013020833333333332
Antoine Semenyo,0.22222222222222224,0.05714285714285715,0.0126984126984127
Anthony Elanga,0.18867924528301888,0.06666666666666667,0.012578616352201259
Willian,0.14492753623188406,0.08333333333333333,0.012077294685990338
Mario Lemina,0.125,0.09166666666666667,0.011458333333333334
Jack Grealish,0.18181818181818182,0.06,0.010909090909090908
Gabriel Martinelli,0.15,0.06923076923076923,0.010384615384615384
Rodri,0.15068493150684933,0.06875,0.010359589041095893
James Garner,0.12359550561797754,0.07857142857142858,0.009711075441412522
Morgan Gibbs-White,0.12903225806451613,0.075,0.009677419354838708
Andreas Pereira,0.1142857142857143,0.08,0.009142857142857144
Amadou Onana,0.11340206185567012,0.07857142857142858,0.008910162002945511
Antony,0.17777777777777778,0.05,0.008888888888888889
Yves Bissouma,0.1125,0.0642857142857143,0.007232142857142858
Pedro Porro,0.1,0.06923076923076923,0.006923076923076924
Declan Rice,0.0851063829787234,0.08,0.006808510638297872
Martin Ødegaard,0.1149425287356322,0.058823529411764705,0.00676132521974307
Dwight McNeil,0.125,0.049999999999999996,0.0062499999999999995
Dejan Kulusevski,0.11111111111111112,0.05500000000000001,0.006111111111111112
Harry Wilson,0.09836065573770492,0.06,0.005901639344262295
Douglas Luiz,0.0851063829787234,0.06153846153846154,0.005237315875613748
Saïd Benrahma,0.12195121951219513,0.041666666666666664,0.00508130081300813
Gustavo Hamer,0.0875,0.049999999999999996,0.0043749999999999995
João Palhinha,0.06944444444444445,0.05,0.0034722222222222225
Dominik Szoboszlai,0.08,0.0380952380952381,0.003047619047619048
Jeremy Doku,0.08888888888888889,0.03333333333333333,0.0029629629629629632
Trent Alexander-Arnold,0.060606060606060615,0.03333333333333333,0.0020202020202020206
